,Name,Description,Postcodes,Area,Contact Email
0,Greater Leys,,"['ox47bu', 'ox47bx', 'ox47by', 'ox47bz', 'ox47eu', 'ox47ex', 'ox47fd', 'ox47fe', 'ox47ff', 'ox47fg', 'ox47fl', 'ox47fn', 'ox47fq', 'ox47fr', 'ox47fs', 'ox47ft', 'ox47fw', 'ox47fx', 'ox47fy', 'ox47fz', 'ox47ga', 'ox47gb', 'ox47gd', 'ox47ge', 'ox47gf', 'ox47gg', 'ox47gh', 'ox47gj', 'ox47gl', 'ox47gn', 'ox47gp', 'ox47gq', 'ox47gr', 'ox47gs', 'ox47gt', 'ox47gu', 'ox47gw', 'ox47gx', 'ox47gy', 'ox47gz', 'ox47ha', 'ox47lh', 'ox47ny', 'ox47nz', 'ox47ql', 'ox47qn', 'ox47qw', 'ox47rr', 'ox47rs', 'ox47rt', 'ox47ru', 'ox47rx', 'ox47ry', 'ox47sd', 'ox47ty', 'ox47tz', 'ox47uy', 'ox47wa', 'ox47wb', 'ox47wd', 'ox47we', 'ox47wf', 'ox47wg', 'ox47wh', 'ox47wj', 'ox47wl', 'ox47wn', 'ox47wp', 'ox47wq', 'ox47wr', 'ox47ws', 'ox47wt', 'ox47wu', 'ox47ww', 'ox47wx', 'ox47wy', 'ox47wz', 'ox47xl', 'ox47xn', 'ox47xp', 'ox47xr', 'ox47xt', 'ox47xu', 'ox47xw', 'ox47xx', 'ox47xy', 'ox47xz', 'ox47yb', 'ox47yd', 'ox47ye', 'ox47yf', 'ox47yg', 'ox47yh', 'ox47yj', 'ox47yl', 'ox47yn', 'ox47yp', 'ox47yq', 'ox47yr', 'ox47ys', 'ox47yt', 'ox47yu', 'ox47yw', 'ox47yx', 'ox47yy', 'ox47zb', 'ox47zd', 'ox47ze', 'ox47zf']","{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2081594, 51.7153557, 0.0], [-1.2083283, 51.7154062, 0.0], [-1.2003675, 51.7122021, 0.0], [-1.1891129, 51.7145421, 0.0], [-1.1869994, 51.7198995, 0.0], [-1.1890271, 51.7185768, 0.0], [-1.1919024, 51.7182512, 0.0], [-1.2006331, 51.7177387, 0.0], [-1.2055684, 51.7173067, 0.0], [-1.2069631, 51.7172967, 0.0], [-1.2063516, 51.7160437, 0.0], [-1.2081594, 51.7153557, 0.0]]]}, ""bbox"": [-1.2083283, 51.7122021, -1.1869994, 51.7198995]}], ""bbox"": [-1.2083283, 51.7122021, -1.1869994, 51.7198995]}",greaterleys@oxfordtogether.org
1,Blackbird Leys East,,"['ox46eu', 'ox46jf', 'ox46jg', 'ox46jn', 'ox46jp', 'ox46jq', 'ox46jw', 'ox46nb', 'ox46pa', 'ox46pb', 'ox46pd', 'ox46pe', 'ox46pf', 'ox46pg', 'ox46ph', 'ox46pj', 'ox46pl', 'ox46pn', 'ox46pq', 'ox46pt', 'ox46pu', 'ox46pw', 'ox46px', 'ox46qd', 'ox46qe', 'ox46qf', 'ox46qg', 'ox46qq', 'ox46qx', 'ox46qy', 'ox46qz', 'ox46ra', 'ox46rb', 'ox46rd', 'ox46re', 'ox46rf', 'ox46rg', 'ox46rh', 'ox46rj', 'ox46rl', 'ox46rn', 'ox46rp', 'ox46rq', 'ox46rw', 'ox46rz', 'ox46sa', 'ox46se', 'ox46sf', 'ox46sg', 'ox46sh', 'ox46sj', 'ox46sl', 'ox46sn', 'ox46sp', 'ox46sq', 'ox46sr', 'ox46su', 'ox46sw', 'ox46sx', 'ox46sy', 'ox46sz', 'ox47qh', 'ox47qp', 'ox47qu', 'ox47tp', 'ox47tr', 'ox47tt', 'ox47tx', 'ox47ua', 'ox47ub', 'ox47ud', 'ox47ue', 'ox47uf', 'ox47ug', 'ox47uh', 'ox47uj', 'ox47ul', 'ox47un', 'ox47up', 'ox47uq', 'ox47ur', 'ox47us', 'ox47ut', 'ox47uu', 'ox47uw', 'ox47ux', 'ox47uz']","{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.1984792, 51.7179332, 0.0], [-1.1890271, 51.7185768, 0.0], [-1.1869994, 51.7198995, 0.0], [-1.1844801, 51.7217289, 0.0], [-1.1873769, 51.7234835, 0.0], [-1.1904668, 51.7248792, 0.0], [-1.1924194, 51.7254241, 0.0], [-1.1935781, 51.7243209, 0.0], [-1.1945223, 51.7238291, 0.0], [-1.1980842, 51.7223271, 0.0], [-1.1969772, 51.7214626, 0.0], [-1.1954322, 51.7202928, 0.0], [-1.1990801, 51.7190898, 0.0], [-1.1984792, 51.7179332, 0.0]]]}, ""bbox"": [-1.1990801, 51.7179332, -1.1844801, 51.7254241]}], ""bbox"": [-1.1990801, 51.7179332, -1.1844801, 51.7254241]}",leyseast@oxfordtogether.org
2,Blackbird Leys Central,,"['ox46aa', 'ox46ab', 'ox46ae', 'ox46af', 'ox46ag', 'ox46ah', 'ox46aj', 'ox46al', 'ox46an', 'ox46ap', 'ox46aq', 'ox46ar', 'ox46as', 'ox46at', 'ox46au', 'ox46aw', 'ox46ax', 'ox46ay', 'ox46az', 'ox46ba', 'ox46bb', 'ox46bd', 'ox46be', 'ox46bg', 'ox46bh', 'ox46bj', 'ox46bl', 'ox46bn', 'ox46bp', 'ox46bq', 'ox46bs', 'ox46bt', 'ox46bw', 'ox46by', 'ox46fd', 'ox46fe', 'ox46fg', 'ox46ga', 'ox46hh', 'ox46hj', 'ox46hn', 'ox46hw', 'ox46hz', 'ox46ja', 'ox46jb', 'ox46jh', 'ox46jl', 'ox46lj', 'ox46ll', 'ox46lq', 'ox46lr', 'ox46ng', 'ox46np', 'ox46nq', 'ox46nu', 'ox46sb', 'ox46ss', 'ox46st', 'ox46ta', 'ox46tb', 'ox46td', 'ox46te', 'ox46tf', 'ox46tg', 'ox46th', 'ox46tj', 'ox46tl', 'ox46tn', 'ox46tq', 'ox46tu', 'ox46xj', 'ox46zn']","{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.202494, 51.7298905, 0.0], [-1.2053478, 51.7268203, 0.0], [-1.2072146, 51.7258235, 0.0], [-1.2094462, 51.7250659, 0.0], [-1.2086094, 51.7240158, 0.0], [-1.2058199, 51.7226334, 0.0], [-1.201979, 51.7211181, 0.0], [-1.2022794, 51.7208256, 0.0], [-1.2012709, 51.7204003, 0.0], [-1.2001122, 51.7191241, 0.0], [-1.1999834, 51.7188848, 0.0], [-1.1990801, 51.7190898, 0.0], [-1.1954322, 51.7202928, 0.0], [-1.1980842, 51.7223271, 0.0], [-1.1935781, 51.7243209, 0.0], [-1.1924194, 51.7254241, 0.0], [-1.1951125, 51.7264482, 0.0], [-1.1979235, 51.7283887, 0.0], [-1.2023867, 51.7300367, 0.0], [-1.202494, 51.7298905, 0.0]]]}, ""bbox"": [-1.2094462, 51.7188848, -1.1924194, 51.7300367]}], ""bbox"": [-1.2094462, 51.7188848, -1.1924194, 51.7300367]}",leyscentral@oxfordtogether.org
3,Blackbird Leys West,,"['ox46da', 'ox46db', 'ox46dd', 'ox46de', 'ox46df', 'ox46dg', 'ox46dh', 'ox46dj', 'ox46dl', 'ox46dn', 'ox46dp', 'ox46dq', 'ox46dr', 'ox46ds', 'ox46dt', 'ox46du', 'ox46dw', 'ox46dx', 'ox46dy', 'ox46dz', 'ox46ea', 'ox46eb', 'ox46ed', 'ox46ee', 'ox46ef', 'ox46eg', 'ox46eh', 'ox46ej', 'ox46el', 'ox46en', 'ox46ep', 'ox46eq', 'ox46er', 'ox46es', 'ox46et', 'ox46ew', 'ox46ey', 'ox46ez', 'ox46hp', 'ox46hr', 'ox46hs', 'ox46ht', 'ox46hu', 'ox46hx', 'ox46hy', 'ox46jd', 'ox46jx', 'ox46la']","{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2089033, 51.7225726, 0.0], [-1.2129159, 51.7192361, 0.0], [-1.2069631, 51.7172967, 0.0], [-1.1984792, 51.7179332, 0.0], [-1.1990801, 51.7190898, 0.0], [-1.1999834, 51.7188848, 0.0], [-1.2012709, 51.7204003, 0.0], [-1.2022794, 51.7208256, 0.0], [-1.201979, 51.7211181, 0.0], [-1.2058199, 51.7226334, 0.0], [-1.2086094, 51.7240158, 0.0], [-1.2094462, 51.7250659, 0.0], [-1.2098474, 51.7249785, 0.0], [-1.2089033, 51.7225726, 0.0]]]}, ""bbox"": [-1.2129159, 51.7172967, -1.1984792, 51.7250659]}], ""bbox"": [-1.2129159, 51.7172967, -1.1984792, 51.7250659]}",leyswest@oxfordtogether.org
4,Rose Hill,,"['ox44eh', 'ox44ew', 'ox44fe', 'ox44ff', 'ox44fg', 'ox44gn', 'ox44gw', 'ox44hf', 'ox44qr', 'ox44rb', 'ox44rd', 'ox44re', 'ox44rf', 'ox44rg', 'ox44rh', 'ox44rj', 'ox44rn', 'ox44rp', 'ox44rq', 'ox44rr', 'ox44rs', 'ox44rt', 'ox44rw', 'ox44sa', 'ox44sb', 'ox44sd', 'ox44se', 'ox44sf', 'ox44sh', 'ox44sj', 'ox44sl', 'ox44sn', 'ox44sp', 'ox44sw', 'ox44ta', 'ox44tb', 'ox44td', 'ox44te', 'ox44tg', 'ox44tp', 'ox44tq', 'ox44tr', 'ox44ts', 'ox44tt', 'ox44tu', 'ox44tx', 'ox44ty', 'ox44tz', 'ox44ua', 'ox44ub', 'ox44ud', 'ox44ue', 'ox44uf', 'ox44ug', 'ox44uh', 'ox44uj', 'ox44ul', 'ox44un', 'ox44up', 'ox44uq', 'ox44ur', 'ox44us', 'ox44uu', 'ox44ux']","{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.241095, 51.7258762, 0.0], [-1.2414008, 51.7249923, 0.0], [-1.2343412, 51.7219418, 0.0], [-1.2289285, 51.7229686, 0.0], [-1.2244922, 51.7243177, 0.0], [-1.2235963, 51.7251717, 0.0], [-1.2236499, 51.7259393, 0.0], [-1.2237626, 51.7266172, 0.0], [-1.2247657, 51.7264743, 0.0], [-1.2251842, 51.7276206, 0.0], [-1.2259674, 51.728036, 0.0], [-1.2328177, 51.7277104, 0.0], [-1.2328231, 51.7273282, 0.0], [-1.2361276, 51.7272817, 0.0], [-1.2365058, 51.7272601, 0.0], [-1.236605, 51.7270126, 0.0], [-1.2374957, 51.7269739, 0.0], [-1.2379677, 51.7268277, 0.0], [-1.2382681, 51.7265885, 0.0], [-1.2392175, 51.7265042, 0.0], [-1.2411542, 51.7263226, 0.0], [-1.241095, 51.7258762, 0.0]]]}, ""bbox"": [-1.2414008, 51.7219418, -1.2235963, 51.728036]}], ""bbox"": [-1.2414008, 51.7219418, -1.2235963, 51.728036]}",rosehill@oxfordtogether.org
5,Northway & Lakes,,"['ox30aa', 'ox30ab', 'ox30ad', 'ox30ae', 'ox30af', 'ox30ag', 'ox30ah', 'ox30aj', 'ox30al', 'ox30an', 'ox30ap', 'ox30aq', 'ox30ar', 'ox30as', 'ox30at', 'ox30au', 'ox30aw', 'ox30ax', 'ox30ay', 'ox30az', 'ox30ba', 'ox30lp', 'ox30lr', 'ox30ls', 'ox30lt', 'ox30lu', 'ox30lx', 'ox30ly', 'ox30qz', 'ox37sr', 'ox37sy', 'ox37te', 'ox37tf', 'ox37tg', 'ox37tq', 'ox39db', 'ox39dd', 'ox39de', 'ox39dg', 'ox39dh', 'ox39dj', 'ox39dq', 'ox39fg', 'ox39ft', 'ox39ps', 'ox39pt', 'ox39pu', 'ox39px', 'ox39py', 'ox39pz', 'ox39qa', 'ox39qb', 'ox39qd', 'ox39qe', 'ox39qf', 'ox39qg', 'ox39qh', 'ox39qj', 'ox39ql', 'ox39qn', 'ox39qp', 'ox39qq', 'ox39qr', 'ox39qs', 'ox39qu', 'ox39qw', 'ox39qx', 'ox39qy', 'ox39qz', 'ox39ra', 'ox39rb', 'ox39rd', 'ox39re', 'ox39rf', 'ox39rg', 'ox39rh', 'ox39rl', 'ox39rq', 'ox39ru']","{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2319001, 51.7681173, 0.0], [-1.2321468, 51.7679646, 0.0], [-1.23131, 51.7674135, 0.0], [-1.2314602, 51.7673073, 0.0], [-1.2319215, 51.7669554, 0.0], [-1.2309023, 51.7663445, 0.0], [-1.2306126, 51.7665503, 0.0], [-1.2287994, 51.7654614, 0.0], [-1.2290462, 51.7648638, 0.0], [-1.228499, 51.7645783, 0.0], [-1.2278231, 51.7648373, 0.0], [-1.2260314, 51.7634827, 0.0], [-1.2255379, 51.7634893, 0.0], [-1.2242504, 51.763901, 0.0], [-1.2233063, 51.7645252, 0.0], [-1.2237462, 51.7648173, 0.0], [-1.223832, 51.7653552, 0.0], [-1.2233814, 51.7668956, 0.0], [-1.2237032, 51.7680509, 0.0], [-1.2232741, 51.7684692, 0.0], [-1.2212571, 51.7676924, 0.0], [-1.2199911, 51.7670749, 0.0], [-1.2181886, 51.7669022, 0.0], [-1.2177702, 51.7670151, 0.0], [-1.2178668, 51.7672209, 0.0], [-1.2161287, 51.7679314, 0.0], [-1.2145086, 51.769392, 0.0], [-1.2284239, 51.7750948, 0.0], [-1.2296899, 51.7733821, 0.0], [-1.2298831, 51.7720079, 0.0], [-1.2302049, 51.7710319, 0.0], [-1.2293573, 51.7708792, 0.0], [-1.2291964, 51.7706734, 0.0], [-1.229293, 51.7703415, 0.0], [-1.2294968, 51.7702286, 0.0], [-1.2299045, 51.7702419, 0.0], [-1.2302156, 51.7700759, 0.0], [-1.230559, 51.7690866, 0.0], [-1.2306984, 51.7688742, 0.0], [-1.2313851, 51.7682036, 0.0], [-1.2316426, 51.7682501, 0.0], [-1.2319001, 51.7681173, 0.0]]]}, ""bbox"": [-1.2321468, 51.7634827, -1.2145086, 51.7750948]}], ""bbox"": [-1.2321468, 51.7634827, -1.2145086, 51.7750948]}",northwaylakes@oxfordtogether.org
6,Headington Hill,,"['ox30bl', 'ox30bn', 'ox30bu', 'ox30bx', 'ox30by', 'ox30bz', 'ox30da', 'ox30db', 'ox30dl', 'ox30dn', 'ox30dp', 'ox30dr', 'ox30ds', 'ox30dt', 'ox30du', 'ox30dw', 'ox30eb', 'ox30ed', 'ox30fd', 'ox30fe', 'ox30ff', 'ox30fg', 'ox30fh', 'ox30fl', 'ox30fn', 'ox30fp', 'ox30fw', 'ox30ja', 'ox30jb', 'ox30jd', 'ox30je', 'ox30jh', 'ox30jj', 'ox30jl', 'ox30jn', 'ox30jw', 'ox30ln', 'ox30lq', 'ox30pe', 'ox30tu', 'ox37sx', 'ox37tb', 'ox37td', 'ox37tt']","{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2357356, 51.7580079, 0.0], [-1.2356069, 51.7567925, 0.0], [-1.2355103, 51.7561284, 0.0], [-1.2357464, 51.7552186, 0.0], [-1.2362399, 51.7533456, 0.0], [-1.2370982, 51.7521634, 0.0], [-1.2370875, 51.751911, 0.0], [-1.2358107, 51.7524689, 0.0], [-1.2319913, 51.753618, 0.0], [-1.2274852, 51.7552916, 0.0], [-1.2237086, 51.7562546, 0.0], [-1.2195887, 51.7574633, 0.0], [-1.2215199, 51.7591169, 0.0], [-1.22314, 51.7584063, 0.0], [-1.2240197, 51.7592231, 0.0], [-1.2249853, 51.7600997, 0.0], [-1.2250175, 51.7605579, 0.0], [-1.2241807, 51.7613747, 0.0], [-1.225393, 51.7625567, 0.0], [-1.2260797, 51.7622247, 0.0], [-1.2265732, 51.7625301, 0.0], [-1.2267985, 51.7627758, 0.0], [-1.2267985, 51.7630282, 0.0], [-1.2267878, 51.7633402, 0.0], [-1.2255379, 51.7634893, 0.0], [-1.2260314, 51.7634827, 0.0], [-1.2278285, 51.7648807, 0.0], [-1.228499, 51.7645783, 0.0], [-1.2290462, 51.7648638, 0.0], [-1.2287994, 51.7654614, 0.0], [-1.2306126, 51.7665503, 0.0], [-1.2309023, 51.7663445, 0.0], [-1.2319215, 51.7669554, 0.0], [-1.23131, 51.7674135, 0.0], [-1.2318196, 51.7677292, 0.0], [-1.2337937, 51.7657705, 0.0], [-1.2352206, 51.7637254, 0.0], [-1.2357142, 51.7622712, 0.0], [-1.2357785, 51.7615407, 0.0], [-1.2357249, 51.7604716, 0.0], [-1.232002, 51.7606841, 0.0], [-1.2315514, 51.7595087, 0.0], [-1.2317767, 51.7594622, 0.0], [-1.2315407, 51.7580676, 0.0], [-1.2326243, 51.7580543, 0.0], [-1.2357356, 51.7580079, 0.0]]]}, ""bbox"": [-1.2370982, 51.751911, -1.2195887, 51.7677292]}], ""bbox"": [-1.2370982, 51.751911, -1.2195887, 51.7677292]}",headingtonhill@oxfordtogether.org
7,Sandhills,,"['ox38dy', 'ox38dz', 'ox38ea', 'ox38eb', 'ox38ed', 'ox38ee', 'ox38ef', 'ox38eg', 'ox38ej', 'ox38en', 'ox38eq', 'ox38ew', 'ox38fe', 'ox38ff', 'ox38fl', 'ox38fn', 'ox38fr']","{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.186598, 51.7622821, 0.0], [-1.183669, 51.7624879, 0.0], [-1.1793989, 51.763132, 0.0], [-1.1799354, 51.7658677, 0.0], [-1.1814159, 51.7659939, 0.0], [-1.186319, 51.7657615, 0.0], [-1.1870378, 51.7656154, 0.0], [-1.1869735, 51.7640484, 0.0], [-1.1865765, 51.7639222, 0.0], [-1.1865229, 51.7636832, 0.0], [-1.1861474, 51.7629594, 0.0], [-1.1865229, 51.7628863, 0.0], [-1.186598, 51.7622821, 0.0]]]}, ""bbox"": [-1.1870378, 51.7622821, -1.1793989, 51.7659939]}], ""bbox"": [-1.1870378, 51.7622821, -1.1793989, 51.7659939]}",sandhills@oxfordtogether.org
8,Risinghurst,,"['ox38dh', 'ox38dj', 'ox38dn', 'ox38dr', 'ox38ds', 'ox38dt', 'ox38du', 'ox38dw', 'ox38dx', 'ox38eh', 'ox38el', 'ox38ep', 'ox38er', 'ox38es', 'ox38et', 'ox38eu', 'ox38ex', 'ox38ey', 'ox38ez', 'ox38fw', 'ox38ha', 'ox38hb', 'ox38he', 'ox38hf', 'ox38hg', 'ox38hh', 'ox38hj', 'ox38hl', 'ox38hn', 'ox38hp', 'ox38hr', 'ox38hs', 'ox38ht', 'ox38hu', 'ox38hw', 'ox38hx', 'ox38hy', 'ox38hz', 'ox38ja', 'ox38jb', 'ox38jd', 'ox38jf', 'ox38jg', 'ox38jh', 'ox38jj', 'ox38jq', 'ox38ld', 'ox38le', 'ox38lf']","{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.1967421, 51.7629527, 0.0], [-1.1965275, 51.7624082, 0.0], [-1.1954975, 51.7606684, 0.0], [-1.1948323, 51.7592606, 0.0], [-1.1945963, 51.7579723, 0.0], [-1.194768, 51.756219, 0.0], [-1.1949396, 51.7558604, 0.0], [-1.1949396, 51.7553689, 0.0], [-1.1918926, 51.7559534, 0.0], [-1.1903692, 51.755794, 0.0], [-1.1881376, 51.7563518, 0.0], [-1.187408, 51.7576137, 0.0], [-1.1848545, 51.7597786, 0.0], [-1.1854768, 51.7623817, 0.0], [-1.186598, 51.7622821, 0.0], [-1.1889744, 51.7622754, 0.0], [-1.1919785, 51.7625278, 0.0], [-1.1945534, 51.7628332, 0.0], [-1.1967421, 51.7629527, 0.0]]]}, ""bbox"": [-1.1967421, 51.7553689, -1.1848545, 51.7629527]}], ""bbox"": [-1.1967421, 51.7553689, -1.1848545, 51.7629527]}",risinghurst@oxfordtogether.org
9,Grandpont,,"['ox14fa', 'ox14fr', 'ox14fs', 'ox14js', 'ox14jt', 'ox14jx', 'ox14ld', 'ox14le', 'ox14lf', 'ox14lg', 'ox14lh', 'ox14lj', 'ox14ll', 'ox14ln', 'ox14lp', 'ox14lq', 'ox14lr', 'ox14ls', 'ox14lt', 'ox14lu', 'ox14lw', 'ox14lx', 'ox14ly', 'ox14lz', 'ox14na', 'ox14nd', 'ox14ng', 'ox14nh', 'ox14nj', 'ox14nq', 'ox14nx', 'ox14ny', 'ox14nz', 'ox14pa', 'ox14pd', 'ox14pe', 'ox14pg', 'ox14pj', 'ox14pl', 'ox14pn', 'ox14pp', 'ox14pq', 'ox14pr', 'ox14pt', 'ox14pu', 'ox14pw', 'ox14px', 'ox14py', 'ox14pz', 'ox14qa', 'ox14qb', 'ox14qd', 'ox14qe', 'ox14qf', 'ox14qg', 'ox14qh', 'ox14qj', 'ox14qq']","{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.266993, 51.7470344, 0.0], [-1.265448, 51.7453073, 0.0], [-1.2621221, 51.7416536, 0.0], [-1.2582275, 51.7408564, 0.0], [-1.2577125, 51.740956, 0.0], [-1.2562105, 51.7408564, 0.0], [-1.2549982, 51.7410358, 0.0], [-1.2527987, 51.7415739, 0.0], [-1.2519941, 51.7415672, 0.0], [-1.2512109, 51.7417798, 0.0], [-1.2507603, 51.7419924, 0.0], [-1.2493441, 51.7425637, 0.0], [-1.2494299, 51.7426368, 0.0], [-1.2511143, 51.7437728, 0.0], [-1.252391, 51.7442909, 0.0], [-1.254805, 51.7457524, 0.0], [-1.255599, 51.7459649, 0.0], [-1.2569937, 51.7459052, 0.0], [-1.2577876, 51.7460646, 0.0], [-1.2581632, 51.7463436, 0.0], [-1.2585923, 51.7469547, 0.0], [-1.2594506, 51.7471673, 0.0], [-1.2614033, 51.7468816, 0.0], [-1.262401, 51.7460779, 0.0], [-1.263195, 51.745945, 0.0], [-1.2641713, 51.7462439, 0.0], [-1.2646434, 51.746596, 0.0], [-1.264579, 51.7468883, 0.0], [-1.264815, 51.7470543, 0.0], [-1.2654588, 51.7472071, 0.0], [-1.266993, 51.7470344, 0.0]]]}, ""bbox"": [-1.266993, 51.7408564, -1.2493441, 51.7472071]}], ""bbox"": [-1.266993, 51.7408564, -1.2493441, 51.7472071]}",grandpont@oxfordtogether.org
