Neighbourhood,Street,Description,GeometryJSON,Email,Phone
Bartlemas,Divinity Road Lower,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2321012, 51.7460613, 0.0], [-1.231436, 51.7457657, 0.0], [-1.231082, 51.7456262, 0.0], [-1.2308137, 51.7458354, 0.0], [-1.2308888, 51.7458686, 0.0], [-1.2291607, 51.7472444, 0.0], [-1.2292887, 51.7472984, 0.0], [-1.2290296, 51.747506, 0.0], [-1.2296443, 51.7477983, 0.0], [-1.231707, 51.7461831, 0.0], [-1.2318402, 51.7462587, 0.0], [-1.2321012, 51.7460613, 0.0]]]}, ""bbox"": [-1.2321012, 51.7456262, -1.2290296, 51.7477983]}], ""bbox"": [-1.2321012, 51.7456262, -1.2290296, 51.7477983]}",divinitylower@oxfordtogether.org,07724 294645
Bartlemas,Divinity Road Middle,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2296443, 51.7477983, 0.0], [-1.2290296, 51.747506, 0.0], [-1.2281815, 51.7479829, 0.0], [-1.2283531, 51.7481688, 0.0], [-1.2279776, 51.7482419, 0.0], [-1.2276772, 51.7480493, 0.0], [-1.2271515, 51.7480758, 0.0], [-1.2261644, 51.7485674, 0.0], [-1.2263468, 51.7486471, 0.0], [-1.2269906, 51.748946, 0.0], [-1.227303, 51.748762, 0.0], [-1.229192, 51.748429, 0.0], [-1.2296443, 51.7477983, 0.0]]]}, ""bbox"": [-1.2296443, 51.747506, -1.2261644, 51.748946]}], ""bbox"": [-1.2296443, 51.747506, -1.2261644, 51.748946]}",divinitymiddle@oxfordtogether.org,07724 294645
Bartlemas,Divinity Road Upper,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2269906, 51.748946, 0.0], [-1.2261644, 51.7485674, 0.0], [-1.2248464, 51.7494121, 0.0], [-1.2252847, 51.7496766, 0.0], [-1.2248341, 51.7499689, 0.0], [-1.22448, 51.7497896, 0.0], [-1.2239935, 51.7501427, 0.0], [-1.2244656, 51.7503985, 0.0], [-1.224471, 51.750654, 0.0], [-1.224803, 51.750635, 0.0], [-1.225672, 51.750004, 0.0], [-1.2255277, 51.7499236, 0.0], [-1.2269906, 51.748946, 0.0]]]}, ""bbox"": [-1.2269906, 51.7485674, -1.2239935, 51.750654]}], ""bbox"": [-1.2269906, 51.7485674, -1.2239935, 51.750654]}",divinityupper@oxfordtogether.org,07724 294645
Bartlemas,Bartlemas Road,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2307892, 51.74548, 0.0], [-1.2301293, 51.7452176, 0.0], [-1.2282518, 51.7468018, 0.0], [-1.2291101, 51.7472436, 0.0], [-1.231082, 51.7456262, 0.0], [-1.2307892, 51.74548, 0.0]]]}, ""bbox"": [-1.231082, 51.7452176, -1.2282518, 51.7472436]}], ""bbox"": [-1.231082, 51.7452176, -1.2282518, 51.7472436]}",bartlemas@oxfordtogether.org,07724 294645
Bartlemas,Warneford Road,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2290296, 51.747506, 0.0], [-1.2291906, 51.7473532, 0.0], [-1.2279138, 51.746669, 0.0], [-1.2272464, 51.7472005, 0.0], [-1.2278763, 51.7474794, 0.0], [-1.2285238, 51.7477782, 0.0], [-1.2290296, 51.747506, 0.0]]]}, ""bbox"": [-1.2291906, 51.746669, -1.2272464, 51.7477782]}], ""bbox"": [-1.2291906, 51.746669, -1.2272464, 51.7477782]}",warnefordrd@oxfordtogether.org,07724 294645
Bartlemas,Minster Road,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2285238, 51.7477782, 0.0], [-1.2272041, 51.7471837, 0.0], [-1.2264478, 51.7466889, 0.0], [-1.2258845, 51.7471604, 0.0], [-1.2272686, 51.7480771, 0.0], [-1.2276772, 51.7480493, 0.0], [-1.2279776, 51.7482419, 0.0], [-1.2283531, 51.7481688, 0.0], [-1.2281815, 51.7479829, 0.0], [-1.2285238, 51.7477782, 0.0]]]}, ""bbox"": [-1.2285238, 51.7466889, -1.2258845, 51.7482419]}], ""bbox"": [-1.2285238, 51.7466889, -1.2258845, 51.7482419]}",minster@oxfordtogether.org,07724 294645
Bartlemas,Southfield Road Lower,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2298588, 51.7450814, 0.0], [-1.2295048, 51.7448157, 0.0], [-1.2291803, 51.7450316, 0.0], [-1.2292205, 51.7451811, 0.0], [-1.2279116, 51.746224, 0.0], [-1.2271981, 51.7459649, 0.0], [-1.2269513, 51.7464166, 0.0], [-1.2265436, 51.7467355, 0.0], [-1.2272464, 51.7472005, 0.0], [-1.2279223, 51.7466425, 0.0], [-1.2282012, 51.7467621, 0.0], [-1.2301293, 51.7452176, 0.0], [-1.2298588, 51.7450814, 0.0]]]}, ""bbox"": [-1.2301293, 51.7448157, -1.2265436, 51.7472005]}], ""bbox"": [-1.2301293, 51.7448157, -1.2265436, 51.7472005]}",southfieldlower@oxfordtogether.org,07724 294645
Bartlemas,Southfield Road Upper,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2258845, 51.7471604, 0.0], [-1.2236637, 51.7486948, 0.0], [-1.2248464, 51.7494121, 0.0], [-1.2261644, 51.7485674, 0.0], [-1.2271515, 51.7480758, 0.0], [-1.2258845, 51.7471604, 0.0]]]}, ""bbox"": [-1.2271515, 51.7471604, -1.2236637, 51.7494121]}], ""bbox"": [-1.2271515, 51.7471604, -1.2236637, 51.7494121]}",southfieldupper@oxfordtogether.org,07724 294645
Bartlemas,Hill Top Road,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2252847, 51.7496766, 0.0], [-1.2214223, 51.7473585, 0.0], [-1.221113, 51.747074, 0.0], [-1.2201778, 51.7472588, 0.0], [-1.219814, 51.747373, 0.0], [-1.2198559, 51.7478434, 0.0], [-1.2240401, 51.750115, 0.0], [-1.22448, 51.7497896, 0.0], [-1.2248341, 51.7499689, 0.0], [-1.2252847, 51.7496766, 0.0]]]}, ""bbox"": [-1.2252847, 51.747074, -1.219814, 51.750115]}], ""bbox"": [-1.2252847, 51.747074, -1.219814, 51.750115]}",hilltop@oxfordtogether.org,07724 294645
Bartlemas,Bartlemas Hamlet and Evelyn Court,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2284192, 51.7439549, 0.0], [-1.2258604, 51.7453366, 0.0], [-1.2263324, 51.7456389, 0.0], [-1.2270352, 51.7458149, 0.0], [-1.2268903, 51.7461304, 0.0], [-1.2264344, 51.7462832, 0.0], [-1.2266489, 51.7466087, 0.0], [-1.2269513, 51.7464166, 0.0], [-1.2271981, 51.7459649, 0.0], [-1.2279116, 51.746224, 0.0], [-1.2292205, 51.7451811, 0.0], [-1.2291541, 51.7450543, 0.0], [-1.2295048, 51.7448157, 0.0], [-1.2292078, 51.7445993, 0.0], [-1.2284192, 51.7439549, 0.0]]]}, ""bbox"": [-1.2295048, 51.7439549, -1.2258604, 51.7466087]}], ""bbox"": [-1.2295048, 51.7439549, -1.2258604, 51.7466087]}",bartlemashamlet@oxfordtogether.org,07724 294645
