id,postcode,ward
806893,OX1 1AD,Jericho and Osney
806894,OX1 1AE,Jericho and Osney
806895,OX1 1AF,Jericho and Osney
806896,OX1 1AG,Jericho and Osney
806897,OX1 1AN,Carfax
806898,OX1 1AW,Carfax
806899,OX1 1AY,Carfax
806900,OX1 1AZ,Carfax
806901,OX1 1BP,Carfax
806902,OX1 1BT,Carfax
806903,OX1 1DG,Holywell
806904,OX1 1DL,Holywell
806905,OX1 1DP,Holywell
806906,OX1 1DQ,Holywell
806907,OX1 1DW,Carfax
806908,OX1 1ER,Carfax
806909,OX1 1HD,Carfax
806910,OX1 1HF,Carfax
806911,OX1 1HG,Carfax
806912,OX1 1HH,Carfax
806913,OX1 1HQ,Carfax
806914,OX1 1HT,Carfax
806915,OX1 1HU,Carfax
806916,OX1 1HY,Jericho and Osney
806917,OX1 1HZ,Jericho and Osney
806918,OX1 1JB,Carfax
806919,OX1 1JE,Carfax
806920,OX1 1JF,Carfax
806921,OX1 1JH,Carfax
806922,OX1 1JJ,Carfax
806923,OX1 1JL,Carfax
806924,OX1 1JP,Carfax
806925,OX1 1JR,Carfax
806926,OX1 1JS,Carfax
806927,OX1 1JT,Carfax
806928,OX1 1JU,Carfax
806929,OX1 1JW,Carfax
806930,OX1 1JX,Carfax
806931,OX1 1JY,Carfax
806932,OX1 1LB,Carfax
806933,OX1 1LE,Carfax
806934,OX1 1LF,Carfax
806935,OX1 1LT,Carfax
806936,OX1 1NF,Carfax
806937,OX1 1NG,Carfax
806938,OX1 1NJ,Carfax
806939,OX1 1NN,Jericho and Osney
806940,OX1 1NP,Carfax
806941,OX1 1NR,Carfax
806942,OX1 1NX,Carfax
806943,OX1 1NY,Carfax
806944,OX1 1PP,Carfax
806945,OX1 1PX,Carfax
806946,OX1 1QE,Carfax
806947,OX1 1QL,Carfax
806948,OX1 1QN,Carfax
806949,OX1 1QS,Carfax
806950,OX1 1QT,Carfax
806951,OX1 1QU,Carfax
806952,OX1 1RA,Carfax
806953,OX1 1RD,Carfax
806954,OX1 1RE,Carfax
806955,OX1 1RN,Carfax
806956,OX1 1RP,Hinksey Park
806957,OX1 1RS,Hinksey Park
806958,OX1 1RT,Hinksey Park
806959,OX1 1RU,Hinksey Park
806960,OX1 1SG,Carfax
806961,OX1 1SL,Carfax
806962,OX1 1SN,Hinksey Park
806963,OX1 1SU,Hinksey Park
806964,OX1 1SW,Hinksey Park
806965,OX1 1TG,Carfax
806966,OX1 1TN,Hinksey Park
806967,OX1 1TQ,Hinksey Park
806968,OX1 1TR,Hinksey Park
806969,OX1 1TS,Hinksey Park
806970,OX1 1TT,Carfax
806971,OX1 1TU,Hinksey Park
806972,OX1 1TW,Carfax
806973,OX1 1TX,Hinksey Park
806974,OX1 1TY,Hinksey Park
806975,OX1 1UA,Carfax
806976,OX1 1UB,Carfax
806977,OX1 1UD,Carfax
806978,OX1 1UL,Carfax
806979,OX1 1UQ,Carfax
806980,OX1 2AQ,Carfax
806981,OX1 2AU,Carfax
806982,OX1 2AY,Carfax
806983,OX1 2BE,Carfax
806984,OX1 2BJ,Carfax
806985,OX1 2BN,Carfax
806986,OX1 2BU,Carfax
806987,OX1 2BY,Carfax
806988,OX1 2DD,Jericho and Osney
806989,OX1 2DF,Carfax
806990,OX1 2DH,Carfax
806991,OX1 2DL,Carfax
806992,OX1 2DR,Carfax
806993,OX1 2DU,Carfax
806994,OX1 2DW,Carfax
806995,OX1 2EB,Carfax
806996,OX1 2EP,Jericho and Osney
806997,OX1 2EW,Carfax
806998,OX1 2EZ,Jericho and Osney
806999,OX1 2HB,Jericho and Osney
807000,OX1 2HD,Carfax
807001,OX1 2HE,Jericho and Osney
807002,OX1 2HG,Jericho and Osney
807003,OX1 2HP,North
807004,OX1 2HQ,Carfax
807005,OX1 2HS,Carfax
807006,OX1 2HU,North
