Postcode,Ward,Longitude,Latitude
OX1 1AA,Carfax Ward,-1.26734867,51.75023631
OX1 1AB,Carfax Ward,-1.25881783,51.75102805
OX1 1AD,Jericho and Osney Ward,-1.2730414,51.75838189
OX1 1AE,Jericho and Osney Ward,-1.27268938,51.75864944
OX1 1AF,Jericho and Osney Ward,-1.27309388,51.75872388
OX1 1AG,Jericho and Osney Ward,-1.27250008,51.75690394
OX1 1AN,Carfax Ward,-1.25980293,51.74925395
OX1 1AW,Carfax Ward,-1.2587241,51.7487886
OX1 1AY,Carfax Ward,-1.26199985,51.75133579
OX1 1AZ,Carfax Ward,-1.26349635,51.75195659
OX1 1BD,Carfax Ward,-1.25760792,51.75148798
OX1 1BN,Holywell Ward,-1.25588577,51.74785354
OX1 1BP,Carfax Ward,-1.25789832,51.75056369
OX1 1BS,Holywell Ward,-1.25697575,51.75116929
OX1 1BT,Carfax Ward,-1.25727208,51.75076654
OX1 1BU,Carfax Ward,-1.25748227,51.75119945
OX1 1BX,Holywell Ward,-1.25689536,51.75165431
OX1 1BY,Carfax Ward,-1.26363535,51.75231711
OX1 1BZ,Jericho and Osney Ward,-1.27002631,51.75127797
OX1 1DA,Carfax Ward,-1.25712929,51.75063976
OX1 1DB,Holywell Ward,-1.25578676,51.74859022
OX1 1DE,Holywell Ward,-1.25732726,51.75181889
OX1 1DF,Carfax Ward,-1.25753756,51.75136165
OX1 1DG,Holywell Ward,-1.25581985,51.74745751
OX1 1DJ,Carfax Ward,-1.26054944,51.75144357
OX1 1DN,Carfax Ward,-1.26184756,51.75001309
OX1 1DP,Holywell Ward,-1.25653288,51.74990769
OX1 1DQ,Holywell Ward,-1.25622479,51.74749604
OX1 1DS,Carfax Ward,-1.25753756,51.75136165
OX1 1DU,Carfax Ward,-1.26144299,51.75083777
OX1 1DW,Carfax Ward,-1.25891666,51.75030037
OX1 1DZ,Holywell Ward,-1.25705986,51.75134065
OX1 1EA,Carfax Ward,-1.25769248,51.75163237
OX1 1EB,Carfax Ward,-1.26378379,51.7494228
OX1 1EF,Carfax Ward,-1.25753756,51.75136165
OX1 1EJ,Carfax Ward,-1.25821409,51.75162668
OX1 1EN,Carfax Ward,-1.26734867,51.75023631
OX1 1EP,Carfax Ward,-1.25917202,51.75151582
OX1 1EQ,Carfax Ward,-1.25783647,51.74726345
OX1 1ER,Carfax Ward,-1.25919541,51.75185764
OX1 1ES,Carfax Ward,-1.25797954,51.74737225
OX1 1ET,Carfax Ward,-1.25841247,51.75189766
OX1 1EU,Carfax Ward,-1.26032775,51.75171191
OX1 1EW,Carfax Ward,-1.25819518,51.74747252
OX1 1EX,Carfax Ward,-1.25830855,51.74762608
OX1 1GA,Jericho and Osney Ward,-1.27307511,51.75989265
OX1 1GB,Jericho and Osney Ward,-1.27307511,51.75989265
OX1 1GD,Jericho and Osney Ward,-1.27307511,51.75989265
OX1 1GE,Jericho and Osney Ward,-1.27307511,51.75989265
OX1 1GF,Jericho and Osney Ward,-1.27307511,51.75989265
OX1 1GH,Jericho and Osney Ward,-1.27307511,51.75989265
OX1 1GJ,Jericho and Osney Ward,-1.27307511,51.75989265
OX1 1GL,Jericho and Osney Ward,-1.27307511,51.75989265
OX1 1HB,Carfax Ward,-1.25779182,51.75175888
OX1 1HD,Carfax Ward,-1.26407252,51.75126785
OX1 1HF,Carfax Ward,-1.26390498,51.75088017
OX1 1HG,Carfax Ward,-1.26481841,51.75083193
OX1 1HH,Carfax Ward,-1.26555214,51.75293152
OX1 1HP,Jericho and Osney Ward,-1.26834235,51.75329058
OX1 1HQ,Carfax Ward,-1.26502109,51.75173234
OX1 1HR,Carfax Ward,-1.26713121,51.75293238
OX1 1HS,Jericho and Osney Ward,-1.2700786,51.75342725
OX1 1HT,Carfax Ward,-1.26488489,51.75209115
OX1 1HU,Carfax Ward,-1.26829703,51.75250805
OX1 1HW,Jericho and Osney Ward,-1.27113007,51.75740797
OX1 1HX,Carfax Ward,-1.25779182,51.75175888
OX1 1HY,Jericho and Osney Ward,-1.27325606,51.75764591
OX1 1HZ,Jericho and Osney Ward,-1.27248535,51.75782097
OX1 1JA,Carfax Ward,-1.26563755,51.75213181
OX1 1JB,Carfax Ward,-1.26341322,51.75083214
OX1 1JD,Carfax Ward,-1.265674,51.75256363
OX1 1JE,Carfax Ward,-1.26492553,51.75137209
OX1 1JF,Carfax Ward,-1.26596394,51.75165731
OX1 1JG,Carfax Ward,-1.26517032,51.75146353
OX1 1JH,Carfax Ward,-1.26703716,51.75158308
OX1 1JJ,Carfax Ward,-1.26639748,51.75172295
OX1 1JL,Carfax Ward,-1.26784657,51.75169602
OX1 1JP,Carfax Ward,-1.26635067,51.75192946
OX1 1JQ,Carfax Ward,-1.26595934,51.75283516
OX1 1JR,Carfax Ward,-1.26658302,51.75189495
OX1 1JS,Carfax Ward,-1.26667823,51.75138303
OX1 1JT,Carfax Ward,-1.26640374,51.75133636
OX1 1JU,Carfax Ward,-1.26566514,51.75132276
OX1 1JW,Carfax Ward,-1.26527725,51.75112253
OX1 1JX,Carfax Ward,-1.26588213,51.7513421
OX1 1JY,Carfax Ward,-1.26436663,51.7518901
OX1 1JZ,Carfax Ward,-1.26442283,51.75199834
OX1 1LB,Carfax Ward,-1.26638823,51.75139921
OX1 1LD,Carfax Ward,-1.2629222,51.75073914
OX1 1LE,Carfax Ward,-1.26751996,51.75128937
OX1 1LF,Carfax Ward,-1.26837965,51.75098002
OX1 1LG,Carfax Ward,-1.26047099,51.75181172
OX1 1LJ,Carfax Ward,-1.26178842,51.7509748
OX1 1LL,Carfax Ward,-1.26066458,51.75148924
OX1 1LQ,Carfax Ward,-1.2602957,51.75190053
OX1 1LT,Carfax Ward,-1.26085989,51.75194904
OX1 1LU,Carfax Ward,-1.26127307,51.75237423
OX1 1LY,Carfax Ward,-1.25683404,51.74832709
OX1 1ND,Carfax Ward,-1.26186157,51.75182046
OX1 1NE,Carfax Ward,-1.25747964,51.74870882
OX1 1NF,Carfax Ward,-1.26192095,51.75262107
